vids,labels,set_type,split,case_id
GynSurg_Action_Segments/Bleeding/case_81_Bleeding_0_27_53.139806-0_29_42.48248230fps_clip_648.mp4,Bleeding,train,1,81
GynSurg_Action_Segments/Bleeding/case_81_Bleeding_0_27_53.139806-0_29_42.48248230fps_clip_649.mp4,Bleeding,train,1,81
GynSurg_Action_Segments/Bleeding/case_81_Bleeding_0_27_53.139806-0_29_42.48248230fps_clip_650.mp4,Bleeding,train,1,81
GynSurg_Action_Segments/Bleeding/case_81_Bleeding_0_27_53.139806-0_29_42.48248230fps_clip_651.mp4,Bleeding,train,1,81
GynSurg_Action_Segments/Bleeding/case_81_Bleeding_0_27_53.139806-0_29_42.48248230fps_clip_652.mp4,Bleeding,train,1,81
GynSurg_Action_Segments/Bleeding/case_81_Bleeding_0_27_53.139806-0_29_42.48248230fps_clip_653.mp4,Bleeding,train,1,81
GynSurg_Action_Segments/Bleeding/case_81_Bleeding_0_27_53.139806-0_29_42.48248230fps_clip_654.mp4,Bleeding,train,1,81
GynSurg_Action_Segments/Bleeding/case_81_Bleeding_0_27_53.139806-0_29_42.48248230fps_clip_655.mp4,Bleeding,train,1,81
GynSurg_Action_Segments/Bleeding/case_81_Bleeding_0_27_53.139806-0_29_42.48248230fps_clip_656.mp4,Bleeding,train,1,81
GynSurg_Action_Segments/Bleeding/case_81_Bleeding_0_27_53.139806-0_29_42.48248230fps_clip_657.mp4,Bleeding,train,1,81
GynSurg_Action_Segments/Bleeding/case_81_Bleeding_0_27_53.139806-0_29_42.48248230fps_clip_658.mp4,Bleeding,train,1,81
GynSurg_Action_Segments/Bleeding/case_81_Bleeding_0_27_53.139806-0_29_42.48248230fps_clip_659.mp4,Bleeding,train,1,81
GynSurg_Action_Segments/Bleeding/case_81_Bleeding_0_27_53.139806-0_29_42.48248230fps_clip_660.mp4,Bleeding,train,1,81
GynSurg_Action_Segments/Bleeding/case_81_Bleeding_0_27_53.139806-0_29_42.48248230fps_clip_661.mp4,Bleeding,train,1,81
GynSurg_Action_Segments/Bleeding/case_81_Bleeding_0_27_53.139806-0_29_42.48248230fps_clip_662.mp4,Bleeding,train,1,81
GynSurg_Action_Segments/Bleeding/case_81_Bleeding_0_27_53.139806-0_29_42.48248230fps_clip_663.mp4,Bleeding,train,1,81
GynSurg_Action_Segments/Bleeding/case_81_Bleeding_0_27_53.139806-0_29_42.48248230fps_clip_664.mp4,Bleeding,train,1,81
GynSurg_Action_Segments/Bleeding/case_81_Bleeding_0_27_53.139806-0_29_42.48248230fps_clip_665.mp4,Bleeding,train,1,81
GynSurg_Action_Segments/Bleeding/case_81_Bleeding_0_27_53.139806-0_29_42.48248230fps_clip_666.mp4,Bleeding,train,1,81
GynSurg_Action_Segments/Bleeding/case_81_Bleeding_0_27_53.139806-0_29_42.48248230fps_clip_667.mp4,Bleeding,train,1,81
GynSurg_Action_Segments/Bleeding/case_81_Bleeding_0_27_53.139806-0_29_42.48248230fps_clip_668.mp4,Bleeding,train,1,81
GynSurg_Action_Segments/Bleeding/case_81_Bleeding_0_27_53.139806-0_29_42.48248230fps_clip_669.mp4,Bleeding,train,1,81
GynSurg_Action_Segments/Bleeding/case_81_Bleeding_0_27_53.139806-0_29_42.48248230fps_clip_670.mp4,Bleeding,train,1,81
GynSurg_Action_Segments/Bleeding/case_81_Bleeding_0_27_53.139806-0_29_42.48248230fps_clip_671.mp4,Bleeding,train,1,81
GynSurg_Action_Segments/Bleeding/case_81_Bleeding_0_27_53.139806-0_29_42.48248230fps_clip_672.mp4,Bleeding,train,1,81
GynSurg_Action_Segments/Bleeding/case_81_Bleeding_0_27_53.139806-0_29_42.48248230fps_clip_673.mp4,Bleeding,train,1,81
GynSurg_Action_Segments/Bleeding/case_81_Bleeding_0_27_53.139806-0_29_42.48248230fps_clip_674.mp4,Bleeding,train,1,81
GynSurg_Action_Segments/Bleeding/case_81_Bleeding_0_27_53.139806-0_29_42.48248230fps_clip_675.mp4,Bleeding,train,1,81
GynSurg_Action_Segments/Bleeding/case_81_Bleeding_0_27_53.139806-0_29_42.48248230fps_clip_676.mp4,Bleeding,train,1,81
GynSurg_Action_Segments/Bleeding/case_81_Bleeding_0_27_53.139806-0_29_42.48248230fps_clip_677.mp4,Bleeding,train,1,81
GynSurg_Action_Segments/Bleeding/case_81_Bleeding_0_27_53.139806-0_29_42.48248230fps_clip_678.mp4,Bleeding,train,1,81
GynSurg_Action_Segments/Bleeding/case_81_Bleeding_0_27_53.139806-0_29_42.48248230fps_clip_679.mp4,Bleeding,train,1,81
GynSurg_Action_Segments/Bleeding/case_81_Bleeding_0_27_53.139806-0_29_42.48248230fps_clip_680.mp4,Bleeding,train,1,81
GynSurg_Action_Segments/Bleeding/case_81_Bleeding_0_27_53.139806-0_29_42.48248230fps_clip_681.mp4,Bleeding,train,1,81
